name,select,default,min,max,category
ANEREF(1),0,1.5,1,2,fix
ANEREF(2),0,3,2.8,5,fix
ANEREF(3),0,1,0.2,1.1,fix
DAMR(1_1),0,0.02,0.002,0.3,fix
DAMRMN(1),0,15,5,30,fix
DEC1(1),0,3.9,3,5,fix
DEC1(2),0,4.9,3,7,fix
DEC2(1),0,14.8,12,18,fix
DEC2(2),0,18.5,16,21,fix
DEC3(1),0,6,4,8,fix
DEC3(2),0,7.3,5,10,fix
DEC4,0,0.0043,0.001,0.005,fix
DEC5(2),0,0.12,0.07,0.25,fix
FAVAIL(1),0,0.15,0.1,0.5,fix
FLEACH(1),0,0.5,0.001,1,fix
FLEACH(2),0,0.05,0.001,0.5,fix
FLEACH(3),0,1,0.2,2,fix
FWLOSS(1),0,1,0.2,2,fix
FWLOSS(2),0,1,0.2,2,fix
FWLOSS(3),0,1,0.2,2,fix
FWLOSS(4),0,0.75,0.2,2,fix
OMLECH(1),0,0.03,0.000001,1,fix
OMLECH(2),0,0.12,0.02,0.8,fix
OMLECH(3),0,1.9,0.02,2,fix
P1CO2A(2),0,0.17,0.1,0.25,fix
P1CO2B(2),0,0.68,0.55,0.74,fix
P2CO2(2),0,0.55,0.5,0.8,fix
P3CO2,0,0.55,0.5,0.9,fix
PABRES,0,100,70,200,fix
PEFTXA,0,0.2,0.1,0.7,fix
PEFTXB,0,0.4,0.2,1.5,fix
PMCO2(2),0,0.55,0.35,0.7,fix
PS1CO2(2),0,0.55,0.4,0.8,fix
PS1S3(1),0,0.003,0.002,0.005,fix
PS1S3(2),0,0.032,0.02,0.06,fix
PS2S3(1),0,0.003,0.002,0.005,fix
PS2S3(2),0,0.009,0.006,0.013,fix
RCESTR(1),0,100,50,300,fix
RIINT,0,0.5,0.2,0.7,fix
SNFXMX(1),0,0.04,0.00001,1,fix
TEFF(1),0,15.4,5,30,fix
TEFF(2),0,0.15,0.05,0.3,fix
WEFF(1),0,30,25,35,fix
WEFF(2),0,9,6,15,fix
VARAT11(1_1),0,15,12,17,fix
VARAT11(2_1),0,6,4,6,fix
VARAT12(1_1),0,14,11,17,fix
VARAT12((2_1),0,3,2,4,fix
dmp,0,0.003,0.001,0.01,site
dmpflux,0,0.000008,0.000001,0.0001,site
N2Oadjust_fc,0,0.025,0.001,1,site
N2Oadjust_wp,0,0.02,0.005,1,site
N2N2Oadj,0,1,0.1,2,site
BASEF ,0,0.3,0.1,0.5,site
EPNFA(1),0,0.3,0.02,0.5,site
EPNFA(2),0,0.015,0.002,0.5,site
EPNFS(1),0,30,10,40,site
EPNFS(2),0,0.01,0.001,0.1,site
RCES2(2_1),0,15,5,20,site
RCES3(1),0,7,2,10,site
FBM,0,0.03,0.01,0.05,site
FHP,0,0.68,0.3,0.7,site
Till_Eff,0,10,5,15,site
PPDF(1)C,0,30,27,33,crop
PPDF(2)C,0,45,40,50,crop
PPDF(1)S,0,27,24,30,crop
PPDF(2)S,0,40,35,45,crop
